TestId,ID,Date,Time,Name,Segment,Position,Type,Excluded,Tags,System Weight,Jump Height,Jump Momentum,Countermovement Depth,Braking RFD,Stiffness,Force at Min Displacement,Avg. Braking Force,Avg. Relative Braking Force,Peak Braking Force,Peak Relative Braking Force,Avg. Propulsive Force,Avg. Relative Propulsive Force,Peak Propulsive Force,Peak Relative Propulsive Force,Unweighting Phase,Unweighting Phase %,Braking Phase,Braking Phase %,Propulsive Phase,Propulsive Phase %,Flight Time,Time To Takeoff,Braking Net Impulse,Propulsive Net Impulse,Positive Impulse,Positive Net Impulse,Impulse Ratio,Avg. Braking Velocity,Avg. Propulsive Velocity,Takeoff Velocity,Peak Velocity,Avg. Braking Power,Avg. Relative Braking Power,Peak Braking Power,Peak Relative Braking Power,Avg. Propulsive Power,Avg. Relative Propulsive Power,Peak Relative Propulsive Power,Peak Propulsive Power,L|R Peak Braking Force,Left Force at Peak Braking Force,Right Force at Peak Braking Force,L|R Avg. Braking Force,Left Avg. Braking Force,Right Avg. Braking Force,L|R Peak Propulsive Force,Left Force at Peak Propulsive Force,Right Force at Peak Propulsive Force,L|R Avg. Propulsive Force,Left Avg. Propulsive Force,Right Avg. Propulsive Force,L|R Avg. Braking RFD,Left Avg. Braking RFD,Right Avg. Braking RFD,L|R Braking Impulse Index,L|R Propulsive Impulse Index,Time to Stabilization,Landing Stiffness,Peak Landing Force,Avg. Landing Force,Relative Peak Landing Force,L|R Peak Landing Force,Left Force at Peak Landing Force,Right Force at Peak Landing Force,L|R Avg. Landing Force,Left Avg. Landing Force,Right Avg. Landing Force,L|R Landing Impulse Index,RSI,mRSI,Braking Impulse,Relative Braking Impulse,Relative Braking Net Impulse,Propulsive Impulse,Relative Propulsive Impulse,Relative Propulsive Net Impulse
fH0hrhEoC1sRLnh5ci9W,,8/25/21,12:02:22,f,,,Countermovement Jump,,,1136.8889,0.4343,338.3261,-0.4153,2654.5455,-4494.5318,1867,1498.7491,131.829,1864,163.9562,2152.2545,189.3109,2558,225,0.61,50.041,0.275,22.5595,0.334,27.3995,0.589,1.219,99.1479,339.3075,1128.547,438.4554,3.4222,-0.5629,1.5052,2.9194,3.0082,-796.1254,-6.8696,-1082.6184,-9.3417,3194.7381,27.5668,57.8574,6705.1469,9.0129,1016,848,7.701,807.0836,691.6655,2.2674,1308,1250,2.1636,1099.4102,1052.8443,8.2192,1436.3636,1218.1818,14.2914,4.2199,920,-7507.4141,6049,1489.2359,532.0661,-0.3472,3014,3035,-12.0618,654.8033,834.4326,-21.5317,0.4832,0.3563,410.6555,3.5435,0.8555,717.8915,6.1946,2.9278
HNgimdUe6K41Pnx6KO7u,,8/25/21,10:28:17,ff,,,Countermovement Jump,,,1285.4995,0.3109,323.6644,-0.3406,8134.715,-8380.2207,2854,2088.601,162.4739,2853,221.9371,2374.5184,184.7156,2854,222.0149,0.363,42.4561,0.193,22.5731,0.299,34.9708,0.488,0.855,154.2156,325.4596,1109.57,479.6752,2.1104,-0.8125,1.5018,2.47,2.5911,-1527.47,-11.6565,-1932.4211,-14.7468,3272.6244,24.9743,43.637,5718.1822,-5.503,1348,1505,-2.3617,1019.6373,1068.9637,-5.5361,1348,1506,-3.0625,1150.8997,1223.6187,-13.121,3533.6788,4601.0363,-4.6117,-5.932,1130,-10482.2659,3830,1567.0637,297.9387,-1.0966,1894,1936,-0.4686,779.8602,787.2035,-0.9343,0.5708,0.3637,401.0315,3.0604,1.1769,708.5385,5.4071,2.4837
8zyb35U7hr1KxgPXrgJn,,8/25/21,10:28:07,ff,,,Countermovement Jump,,,1288.8148,0.2672,300.7347,-0.2456,11623.3766,-12534.3139,3078,2239.6234,173.7739,3070,238.2033,2594.5455,201.3125,3190,247.5142,0.352,47.7612,0.154,20.8955,0.231,31.3433,0.485,0.737,145.5343,301.3581,940.5085,446.8924,2.0707,-0.7333,1.4874,2.2891,2.4216,-1476.7258,-11.2403,-1957.0896,-14.8967,3413.4038,25.9816,42.9788,5646.4586,-1.0423,1519,1551,-0.2627,1116.8701,1122.7532,-1.5674,1570,1620,-1.9038,1272.5758,1321.9697,-1.1173,5746.7532,5876.6234,-0.5145,-3.7358,850,-14565.4461,7168,1670.9553,556.1699,-14.202,3075,4093,-3.1718,808.9776,861.9776,-6.1604,0.6581,0.3624,342.723,2.6087,1.1078,597.7855,4.5501,2.2938
UeCnAlNLwRhFyIddhQVm,,8/25/21,10:27:55,ff,,,Countermovement Jump,,,1287.7718,0.2423,286.2554,-0.3073,11267.0807,-10101.3451,3104,2309.9006,179.3719,3104,241.0365,2347.8529,182.319,3104,241.0365,0.339,43.9119,0.161,20.8549,0.272,35.2332,0.452,0.772,163.654,288.0613,1006.745,451.7154,1.7602,-0.8476,1.4795,2.1806,2.3529,-1743.5161,-13.2818,-2251.1645,-17.1489,3057.7306,23.2932,37.886,4973.3459,-0.5799,1543,1561,-0.7513,1146.2733,1163.6273,-0.5155,1544,1560,4.4117,1225.7169,1122.136,0.3308,5652.1739,5614.9068,-1.4898,8.4632,820,-16953.218,6618,1660.2317,513.9109,2.8105,3402,3216,-5.6344,783.3439,876.8878,-10.6581,0.5855,0.3139,369.6975,2.8163,1.2467,637.0475,4.8529,2.1944
hYAFTBLQevEHwQKnwkV3,,8/25/21,10:06:33,g ,,,Countermovement Jump,,,1111.6637,0.3424,293.7127,-0.5136,956.3636,-3186.8749,1637,1264.5455,113.7525,1631,146.717,1775.4842,159.7142,2056,184.948,0.846,45.9783,0.55,29.8913,0.444,24.1304,0.51,1.84,83.8256,295.015,1481.611,378.8406,3.5194,-0.4965,1.4372,2.5919,2.7551,-609.2511,-5.3764,-873,-7.7039,2458.2189,21.6928,45.1597,5117.4677,-1.1649,806,825,2.2099,646.2455,618.3,-3.0156,997,1059,-1.4805,874.5991,900.8851,14.8289,549.0909,407.2727,4.3486,-2.9162,710,-28162.748,4919,1485.5085,442.49,-0.183,2455,2464,2.652,762.4521,723.0563,5.1683,0.2772,0.1861,694.129,6.1254,0.7397,787.482,6.9492,2.6034
pjpOBUWY7PFcN5Vk6Aum,,8/25/21,10:06:23,g ,,,Countermovement Jump,,,1111.3854,0.3368,291.1631,-0.4757,1138.3538,-3704.2896,1762,1262.6497,113.6104,1757,158.091,1834.6906,165.0814,2092,188.2335,0.478,32.8975,0.571,39.298,0.404,27.8045,0.516,1.453,86.0488,292.4292,1459.856,378.478,3.3984,-0.5485,1.4539,2.57,2.7312,-667.8967,-5.8954,-876.9869,-7.741,2545.4473,22.4682,45.3272,5135.1622,1.309,890,867,-3.408,609.8091,652.8406,-2.6769,1018,1074,-2.0813,898.2525,936.4381,9.5385,623.4676,514.8862,-6.6022,-4.0884,1130,-22817.2037,5901,1364.092,530.9589,2.3894,3021,2880,-2.0735,667.9035,696.1885,-4.062,0.3551,0.2317,719.5385,6.3512,0.7595,740.3175,6.5347,2.5812
ZerHsKCSyUGqCKPhrlcG,,8/25/21,10:06:12,g,,,Countermovement Jump,,,1114.5275,0.332,289.9277,-0.5001,1659.5745,-3788.3416,1895,1309.7043,117.5121,1890,169.5786,1866.7519,167.4927,2086,187.1645,0.552,39.1767,0.47,33.357,0.387,27.4663,0.524,1.409,91.3451,291.2639,1335.53,382.609,3.1886,-0.6265,1.4879,2.5519,2.7104,-778.0913,-6.8487,-939.6266,-8.2705,2617.8629,23.0423,44.6183,5069.1448,-6.8783,880,1010,-8.3217,600.3574,709.3468,-1.1505,1031,1055,-2.6492,908.6486,958.1034,2.0513,846.8085,812.766,-15.3613,-5.1525,860,-9513.3349,4897,1445.7291,439.379,-5.5748,2312,2585,0.6559,727.6058,718.1233,1.2937,0.3719,0.2356,614.0585,5.4049,0.804,721.4715,6.3503,2.5637
KjhbYGY18sqmhdqcgCsC,,8/25/21,12:57:50,gg,,,Countermovement Jump,,,816.992,0.4351,243.317,-0.2959,8381.9444,-6845.2507,2026,1526.6389,186.8609,2053,251.2877,1842.2479,225.4915,2143,262.3037,0.494,56.3927,0.144,16.4384,0.238,27.1689,0.594,0.876,101.5826,243.7939,655.8335,345.3765,2.4,-0.8083,1.6551,2.9216,3.0062,-1098.2931,-13.1877,-1420.6521,-17.0584,2850.5608,34.228,63.3247,5273.7792,-3.5558,990,1063,-5.0983,724.4028,802.2361,-4.1531,1027,1116,-2.1158,901.6345,940.6134,-1.2428,4138.8889,4243.0556,-9.7237,-4.1466,490,-27269.9698,6704,1308.251,820.5711,3.6396,3474,3230,22.7378,802.8592,505.3918,37.0524,0.6781,0.4966,218.4125,2.6226,1.2197,437.421,5.2523,2.9273
WB4R7aOt0ynRB0HzTtuj,,8/25/21,12:57:39,gg,,,Countermovement Jump,,,816.7698,0.4211,239.3482,-0.2865,4936.5079,-6110.8593,1750,1302.5714,159.4784,1745,213.6465,1856.1385,227.2536,2189,268.007,0.351,45.5253,0.189,24.5136,0.231,29.9611,0.592,0.771,91.3523,240.0145,672.7765,331.3667,2.6274,-0.742,1.6313,2.8747,2.961,-875.9533,-10.5208,-1219.5906,-14.6482,2826.6589,33.9502,61.5975,5128.5407,0.0573,873,872,-4.2098,623.8677,678.7037,-2.0557,1072,1117,0.0023,928.0909,928.0476,-4.3944,2359.7884,2576.7196,-8.1366,0.004,570,-18587.7347,5676,1249.7614,694.9327,1.6913,2886,2790,13.898,711.7263,538.0351,24.4156,0.7678,0.5463,244.905,2.9415,1.0972,427.8715,5.139,2.8827
uiSbA7u8h2S5zczRyEA9,,8/25/21,11:34:49,hh,,,Countermovement Jump,,,820.2503,0.1349,135.9882,-1.637,4568.8406,-1271.1455,2081,1201.4457,146.4731,2072,252.6058,1795.3,218.8722,2296,279.9146,1.914,82.1459,0.276,11.8455,0.14,6.0086,0.573,2.33,104.5842,136.2692,580.437,240.8534,1.303,-0.9453,1.0779,1.6264,1.735,-1015.7608,-12.1483,-1222.2249,-14.6175,1678.6902,20.0767,35.2216,2945.0118,-1.6409,1019,1053,-6.0064,564.6413,636.8043,1.0453,1160,1136,-0.1385,896.4071,898.8929,-1.9826,2239.1304,2329.7101,-11.3681,-0.2705,N/A,-61.4838,5984,667.7157,729.5335,1.6377,3041,2943,22.2645,408.1895,259.5262,N/A,0.2459,0.0579,330.153,3.9486,1.2508,250.284,2.9933,1.6297
