date,Sleep Score,Total Sleep Score,REM Sleep Score,Deep Sleep Score,Sleep Efficiency Score,Restfulness Score,Sleep Latency Score,Sleep Timin Score,Total Sleep Duration,Total Bedtime ,Awake Time,REM Sleep Duration,Light Sleep Duration,Deep Sleep Duration,Restless Sleep,Sleep Efficiency,Sleep Latency,Sleep Timing,Bedtime Start,Bedtime End,Average Resting Heart Rate,Lowest Resting Heart Rate,Average HRV,Temperature Deviation (°C),Temperature Trend Deviation,Respiratory Rate,Activity Score,Stay Active Score,Move Every Hour Score,Meet Daily Targets Score,Training Frequency Score,Training Volume Score,Activity Burn,Total Burn,Steps,Equivalent Walking Distance,Inactive Time,Rest Time,Low Activity Time,Medium Activity Time,High Activity Time,Non-wear Time,Average MET,Long Periods of Inactivity,Readiness Score,Previous Night Score,Sleep Balance Score,Previous Day Activity Score,Activity Balance Score,Temperature Score,Resting Heart Rate Score,HRV Balance Score,Recovery Index Score
2022-07-05,62,49,44,68,95,62,94,56,19830,22140,2310,3390,12030,4410,36,90,810,11100,2022-07-05T01:21:01-05:00,2022-07-05T07:30:01-05:00,59.35,54.0,47,-0.32,-0.24,16.875,96,84,100,95,100,100,3003,5275,21582,46017,28920,30060,11880,5520,10020,0,2.875,0,56,40,70,1,73,94,39,83,64
2022-07-06,79,68,58,97,90,79,89,97,24690,28020,3330,4440,12750,7500,26,88,690,13590,2022-07-05T23:18:53-05:00,2022-07-06T07:05:53-05:00,58.32,53.0,55,-0.08,-0.17,16.625,91,68,100,95,100,100,954,3219,13292,16045,36780,25740,15720,5400,1080,1680,1.75,0,63,83,68,1,47,100,50,80,89
2022-07-07,72,65,40,99,90,76,72,77,23910,27180,3270,3120,12480,8310,30,88,1470,13680,2022-07-06T23:56:19-05:00,2022-07-07T07:29:19-05:00,52.51,48.0,68,-0.09,-0.07,15.875,90,77,100,100,100,100,1783,4057,20528,29525,30840,28140,14100,11100,2220,0,2.21875,0,75,65,66,81,46,100,100,84,89
2022-07-08,68,59,39,99,79,70,91,57,22230,26880,4650,3060,10590,8580,26,83,1050,12570,2022-07-08T00:54:44-05:00,2022-07-08T08:22:44-05:00,51.56,48.0,77,-0.17,-0.04,16.25,85,61,100,100,100,100,532,2766,9195,9257,39480,28440,15420,2640,300,120,1.5,0,69,55,61,53,38,99,100,87,83
2022-07-09,67,61,35,96,69,68,89,64,22860,28920,6060,2670,13170,7020,26,79,660,12990,2022-07-09T00:33:09-05:00,2022-07-09T08:35:09-05:00,58.24,52.0,70,0.18,0.07,17.5,96,72,100,100,100,100,371,2608,7615,6464,31200,27540,19380,900,0,7380,1.4375,0,67,53,58,99,46,89,60,88,78
2022-07-10,62,62,71,100,74,67,21,33,23250,28800,5550,5370,8940,8940,21,81,2790,15360,2022-07-10T00:56:37-05:00,2022-07-10T08:56:37-05:00,64.44,56.0,43,0.56,0.36,16.375,96,72,100,100,100,100,732,2917,11408,12642,34440,33180,14880,2460,1440,0,1.59375,0,51,40,56,100,55,58,31,81,54
2022-07-11,72,56,53,100,86,72,83,97,21660,25260,3600,4080,7770,9810,26,86,570,11880,2022-07-10T23:46:00-05:00,2022-07-11T06:47:00-05:00,57.18,52.0,60,0.15,0.41,16.75,96,70,100,100,100,100,859,3150,13928,14785,34620,25260,20880,4260,1380,0,1.71875,0,69,65,53,82,60,92,73,82,85
2022-07-12,83,83,80,100,90,70,89,72,28530,32580,4050,6060,12240,10230,28,88,1110,16320,2022-07-11T23:22:18-05:00,2022-07-12T08:25:18-05:00,57.17,52.0,64,-0.22,0.18,16.25,99,95,100,100,100,100,1654,3952,18786,28569,23400,27540,20460,12060,780,2160,2.15625,0,75,93,59,80,63,97,63,84,100
2022-07-13,73,63,73,96,83,69,94,62,23520,27540,4020,5550,11160,6810,29,85,1020,13740,2022-07-13T00:25:27-05:00,2022-07-13T08:04:27-05:00,61.24,56.0,43,0.28,0.16,16.625,89,67,78,100,100,100,1059,3318,13976,18024,37620,26520,15540,5880,840,0,1.8125,2,61,67,59,85,57,81,14,73,86
2022-07-14,60,53,69,63,55,62,72,65,20850,28620,7770,5280,11460,4110,37,73,1470,15420,2022-07-13T23:51:44-05:00,2022-07-14T07:48:44-05:00,65.33,54.0,46,0.6,0.41,18.125,87,57,95,100,100,100,472,2781,10123,8671,41280,20520,22680,1200,0,720,1.53125,1,47,35,55,81,57,54,35,65,42
2022-07-15,68,58,64,100,97,85,67,26,22200,24240,2040,4890,8190,9120,21,92,180,11820,2022-07-15T02:10:29-05:00,2022-07-15T08:54:29-05:00,54.73,48.0,64,0.03,0.4,17,96,72,100,100,100,100,246,2446,5124,4269,34740,29040,13800,180,0,8640,1.34375,0,67,55,53,100,65,100,95,70,41
2022-07-16,56,38,20,89,83,74,40,82,16770,19740,2970,1590,9390,5790,32,85,2220,10410,2022-07-16T00:41:00-05:00,2022-07-16T06:10:00-05:00,55.17,51.0,63,-0.06,0.2,17.125,94,63,95,100,100,100,413,2684,8441,7169,38520,25560,18720,1440,60,2100,1.46875,1,60,25,43,None,None,100,95,74,24
2022-07-17,80,84,52,100,86,68,89,79,28800,33420,4620,3990,15870,8940,30,86,660,16800,2022-07-16T23:00:30-05:00,2022-07-17T08:17:30-05:00,49.05,44.0,78,-0.29,-0.04,15.375,97,81,100,100,100,99,839,3101,12368,15082,30480,28500,21240,5400,0,780,1.6875,0,78,85,51,100,81,95,80,84,97
2022-07-18,77,83,50,100,81,72,78,58,26400,31020,4620,3840,13140,9420,24,85,450,15090,2022-07-18T00:05:36-05:00,2022-07-18T08:42:36-05:00,53.16,47.0,79,-0.23,-0.11,15.125,98,88,95,100,100,100,838,3002,8793,14831,22860,41520,14160,6060,0,1800,1.625,1,78,78,59,100,82,97,97,88,56
2022-07-19,76,76,68,97,88,67,78,63,26880,30840,3960,5160,14160,7560,25,87,1380,15690,2022-07-18T23:51:10-05:00,2022-07-19T08:25:10-05:00,50.89,47.0,76,-0.16,-0.1,15.25,95,77,100,100,96,99,555,2781,11460,10297,31980,32040,19440,2940,0,0,1.5,0,83,75,63,100,83,99,92,90,100
2022-07-20,81,96,49,100,72,71,78,66,25110,32460,7350,3780,13230,8100,32,77,450,17040,2022-07-19T23:09:33-05:00,2022-07-20T08:10:33-05:00,53.56,48.0,76,-0.13,-0.04,15.125,95,96,100,95,71,97,194,2292,3874,3491,20400,37800,8460,780,0,18960,1.25,0,89,88,74,100,87,100,100,93,100
2022-07-21,72,75,36,100,90,66,70,65,26700,30240,3540,2820,13740,10140,29,88,270,14580,2022-07-21T00:05:52-05:00,2022-07-21T08:29:52-05:00,51.23,46.0,78,0.06,0.05,15.25,90,79,95,78,96,97,586,2801,9598,10766,31380,31500,17940,3240,0,2340,1.53125,1,87,65,78,100,93,100,93,94,100
2022-07-22,73,73,38,100,81,66,81,77,25890,30780,4890,2910,14160,8820,29,84,480,15000,2022-07-21T23:35:26-05:00,2022-07-22T08:08:26-05:00,54.42,47.0,74,-0.05,0.09,15.5,89,73,95,78,96,96,342,2514,7090,6156,34080,34860,16740,720,0,0,1.375,1,84,68,79,100,93,100,100,95,50
2022-07-23,81,82,52,100,86,68,89,96,28290,32880,4590,3930,13800,10560,28,86,690,15750,2022-07-22T22:43:01-05:00,2022-07-23T07:51:01-05:00,50.66,47.0,83,0.01,0.11,14.5,81,70,78,60,96,90,377,2629,8003,6436,35340,28560,21540,960,0,0,1.4375,2,93,88,83,100,97,100,100,97,100
2022-07-24,64,43,37,95,79,64,97,82,18270,21960,3690,2850,9270,6150,35,83,870,11100,2022-07-24T00:29:54-05:00,2022-07-24T06:35:54-05:00,60.79,54.0,60,0.03,0.12,15.875,73,72,100,43,71,61,265,2467,5605,4607,34560,26040,15840,120,0,9840,1.34375,0,72,45,72,100,100,100,56,95,42
2022-07-25,62,51,48,100,90,69,70,26,20220,22980,2760,3660,7530,9030,22,88,240,10710,2022-07-25T02:27:23-05:00,2022-07-25T08:50:23-05:00,58.53,53.0,59,-0.09,0.09,16,77,65,95,43,71,100,1390,3594,11539,21103,36660,31620,10680,960,5220,1260,1.9375,1,73,40,63,100,96,100,68,93,79
2022-07-26,78,73,77,100,90,70,91,65,26010,29700,3690,5880,11010,9120,28,88,1080,14220,2022-07-26T00:12:01-05:00,2022-07-26T08:27:01-05:00,61.18,57.0,49,0.1,0.12,16.25,78,66,78,43,96,100,1757,4024,20536,28338,36480,24960,13560,4800,6600,0,2.1875,2,65,80,64,4,94,97,29,88,100
2022-07-27,64,50,55,86,88,84,56,54,19980,22980,3000,4170,10230,5580,29,87,1830,12060,2022-07-27T01:09:02-05:00,2022-07-27T07:32:02-05:00,63.7,58.0,41,0.27,0.24,16.5,85,74,100,60,100,100,793,2992,11044,12690,34020,27960,12300,1500,3060,7560,1.625,0,50,45,57,1,80,82,20,79,57
2022-07-28,79,76,71,99,88,70,91,73,26760,30900,4140,5370,12840,8550,28,87,1080,15180,2022-07-27T23:39:45-05:00,2022-07-28T08:14:45-05:00,61.06,55.0,53,-0.04,0.23,16.5,86,73,95,78,100,100,1506,3765,18634,23846,33000,27300,12300,4320,5760,3720,2.0625,1,67,83,60,57,79,100,51,74,73
2022-07-29,71,64,66,97,79,72,70,64,23580,28560,4980,5010,11520,7050,22,83,240,13020,2022-07-29T00:32:47-05:00,2022-07-29T08:28:47-05:00,58.88,53.0,57,0.11,0.21,16.375,89,80,95,95,100,100,2083,4312,16587,32038,30120,32040,12780,2640,7800,1020,2.34375,1,59,63,59,1,70,95,73,71,62
2022-07-30,79,75,67,95,88,73,97,75,26550,30480,3930,5100,15300,6150,32,87,960,14580,2022-07-29T23:45:28-05:00,2022-07-30T08:13:28-05:00,57.32,51.0,67,-0.06,0.14,16.375,86,66,100,100,100,100,628,2871,10537,10716,36780,25560,15900,2580,1080,4500,1.5625,0,66,83,62,1,56,100,93,74,73
2022-07-31,70,67,48,99,98,73,70,45,24360,26160,1800,3660,12240,8460,29,93,240,12930,2022-07-31T01:13:12-05:00,2022-07-31T08:29:12-05:00,54.85,48.0,69,-0.13,0.07,16.125,83,66,100,100,100,100,248,2413,4982,4426,37320,30420,12900,540,0,5220,1.3125,0,70,60,62,86,60,100,97,79,40
2022-08-01,77,77,82,100,88,70,70,58,27150,31140,3990,6240,10230,10680,30,87,1560,15990,2022-07-31T23:55:54-05:00,2022-08-01T08:34:54-05:00,51.61,46.0,80,-0.19,-0.01,15.25,92,59,95,95,100,100,434,2650,6623,7025,40740,29640,12480,1140,900,1500,1.4375,1,81,78,66,100,69,98,87,86,100
2022-08-02,78,81,65,100,88,73,78,59,28020,32100,4080,4980,12240,10800,25,87,450,15060,2022-08-02T00:09:05-05:00,2022-08-02T09:04:05-05:00,54.25,50.0,62,0.06,0.03,15.375,88,76,78,78,100,100,211,2371,4156,3661,32760,33720,11520,600,0,7800,1.28125,2,84,80,70,88,75,100,100,86,100
2022-08-03,82,78,88,99,76,76,91,77,27420,33360,5940,6660,12180,8580,28,82,1050,16260,2022-08-02T23:13:01-05:00,2022-08-03T08:29:01-05:00,55.12,48.0,56,0.12,0.15,15.125,82,54,95,60,100,99,432,2656,6675,6743,42180,29820,12480,420,1320,180,1.4375,1,84,90,74,100,83,94,99,84,65
2022-08-04,72,64,60,100,81,68,81,74,23640,28260,4620,4560,8520,10560,27,84,1290,14880,2022-08-03T23:42:33-05:00,2022-08-04T07:33:33-05:00,56.47,51.0,49,-0.48,-0.01,15.25,79,59,100,43,100,96,179,2365,3482,2861,40380,25920,10680,420,0,9000,1.28125,0,75,65,71,79,88,88,89,77,63
2022-08-05,68,57,52,99,72,75,64,79,21810,27300,5490,3960,9360,8490,27,80,1650,13080,2022-08-05T00:02:06-05:00,2022-08-05T07:37:06-05:00,54.03,51.0,58,-0.11,-0.1,15.25,76,45,95,43,100,96,566,2833,6824,8445,48000,24240,11880,600,1680,0,1.5625,1,79,55,67,100,96,100,89,76,94
2022-08-06,70,61,53,100,83,72,89,58,22860,26760,3900,4050,9600,9210,25,85,690,13740,2022-08-06T00:34:28-05:00,2022-08-06T08:00:28-05:00,59.45,51.0,56,0.02,-0.02,15.625,74,65,95,25,96,95,213,2408,4344,3369,37380,28380,13680,360,0,6600,1.3125,1,68,60,63,64,98,100,89,74,23
2022-08-07,72,65,67,100,88,67,67,70,24030,27780,3750,5070,9690,9270,28,87,180,13290,2022-08-07T00:17:29-05:00,2022-08-07T08:00:29-05:00,53.54,50.0,64,0.0,0.09,15.375,79,64,95,43,100,96,665,2900,12084,11668,37260,26280,20160,1560,1140,0,1.59375,1,81,65,62,100,97,100,99,77,100
2022-08-08,72,63,65,100,83,67,81,68,23520,27660,4140,4950,9180,9390,30,85,510,13110,2022-08-08T00:23:18-05:00,2022-08-08T08:04:18-05:00,53.2,48.0,65,0.1,0.14,15.25,87,85,95,60,100,99,972,3173,12907,15942,27660,29640,12840,4020,2880,9360,1.71875,1,78,65,60,80,100,97,99,80,86
2022-08-09,75,69,69,89,93,73,78,73,25050,28260,3210,5280,13980,5790,25,89,420,13860,2022-08-09T00:02:21-05:00,2022-08-09T07:53:21-05:00,58.53,52.0,52,-0.02,0.13,15.625,89,69,100,78,100,100,1335,3580,16918,21289,36000,26340,10980,4980,4800,3300,1.9375,0,72,73,61,61,96,100,78,76,72
2022-08-10,73,64,80,100,72,68,83,71,23550,29520,5970,6030,7980,9540,23,80,570,13830,2022-08-10T00:05:58-05:00,2022-08-10T08:17:58-05:00,57.0,52.0,56,-0.18,0.04,15.5,90,67,100,95,100,100,1435,3698,16910,22872,35880,29220,11580,5160,4560,0,2,0,68,68,59,11,87,99,78,76,99
2022-08-11,76,69,73,100,93,80,64,72,24960,28080,3120,5580,9540,9840,22,89,150,13260,2022-08-11T00:13:31-05:00,2022-08-11T08:01:31-05:00,61.32,55.0,49,-0.01,0.02,16.625,88,62,100,100,100,100,651,2877,9410,10511,39060,28320,15540,1980,1500,0,1.5625,0,56,75,61,10,77,100,48,70,29
2022-08-12,71,62,60,99,72,69,94,62,23070,28740,5670,4560,9900,8610,30,80,990,14640,2022-08-12T00:10:44-05:00,2022-08-12T08:09:44-05:00,53.34,49.0,66,-0.28,-0.05,15.375,90,95,100,100,100,100,722,2910,9606,11567,22380,27240,12000,2100,2460,20220,1.59375,0,76,63,59,75,78,95,100,75,100
2022-08-13,73,75,59,98,76,67,78,55,26550,32400,5850,4470,14310,7770,27,82,450,15060,2022-08-13T00:16:35-05:00,2022-08-13T09:16:35-05:00,56.68,48.0,68,-0.27,-0.12,15.75,72,56,100,100,100,100,461,2676,7420,7600,39960,30780,13200,1440,1020,0,1.46875,0,74,68,62,81,82,96,100,79,50
2022-08-14,69,63,34,100,86,82,67,61,23490,27240,3750,2610,11460,9420,23,86,210,12630,2022-08-14T00:46:43-05:00,2022-08-14T08:20:43-05:00,49.66,45.0,89,0.09,-0.04,15.5,None,None,None,None,None,None,278,2443,5999,5034,25800,29880,15240,240,0,15240,1.34375,1,75,58,61,86,83,97,85,88,80
2022-08-15,54,23,5,83,81,69,89,100,12390,14700,2310,420,6570,5400,26,84,1140,7740,2022-08-14T23:04:45-05:00,2022-08-15T03:09:45-05:00,51.6,48.0,81,0.09,0.1,15.75,None,None,None,None,None,None,365,2587,7788,6595,50520,21300,12660,1740,0,180,1.4375,1,62,20,44,100,88,98,100,91,8
2022-08-16,59,47,21,100,74,74,62,61,19320,23940,4620,1650,8730,8940,21,81,1710,12720,2022-08-16T00:45:18-04:00,2022-08-16T07:24:18-04:00,51.11,44.0,80,0.23,0.23,15.125,90,75,95,78,100,97,640,2879,12311,11764,33060,28020,18120,4500,0,2700,1.5625,1,62,33,36,None,None,86,81,93,38
2022-08-17,78,68,68,100,81,73,94,93,24780,29340,4560,5130,9600,10050,22,84,810,14730,2022-08-16T23:06:55-04:00,2022-08-17T07:15:55-04:00,50.33,46.0,75,-0.49,0.0,14.375,81,60,78,60,100,96,321,2544,6480,5659,39900,29940,15600,960,0,0,1.375,2,79,80,39,100,91,88,91,95,100
2022-08-18,83,80,47,100,95,84,81,100,27750,30720,2970,3570,14250,9930,26,90,480,14730,2022-08-17T22:51:23-04:00,2022-08-18T07:23:23-04:00,50.86,47.0,72,0.02,-0.06,15.375,76,57,95,43,96,85,315,2567,6464,5463,41760,28140,15720,780,0,0,1.40625,1,84,93,47,100,95,100,97,96,98
2022-08-19,69,64,22,99,74,69,72,98,23730,29460,5730,1710,13410,8610,28,81,330,14160,2022-08-18T23:05:41-04:00,2022-08-19T07:16:41-04:00,51.35,47.0,63,0.03,0.0,15.125,83,91,100,43,96,95,996,3324,20242,19183,25080,23340,33840,3480,120,540,1.8125,0,79,57,48,100,98,100,98,94,100
2022-08-20,73,71,57,100,93,73,70,48,25440,28680,3240,4380,9960,11100,23,89,270,13830,2022-08-20T00:52:23-04:00,2022-08-20T08:50:23-04:00,53.52,49.0,61,-0.12,0.04,14.75,83,76,100,60,71,95,761,3100,15603,14388,32160,21420,28320,2640,60,1800,1.6875,0,80,68,53,100,89,100,100,93,89
2022-08-21,53,31,14,100,93,69,94,13,14970,16800,1830,1110,4470,9390,24,89,990,8580,2022-08-21T04:10:44-04:00,2022-08-21T08:50:44-04:00,55.48,50.0,58,0.06,0.05,15.5,88,84,100,78,71,95,614,2897,12718,11338,27660,29220,27780,1740,0,0,1.59375,0,61,17,42,100,86,100,90,90,22
2022-08-22,71,62,42,100,83,74,91,66,23100,27180,4080,3240,10290,9570,25,85,750,13770,2022-08-22T00:17:24-04:00,2022-08-22T07:50:24-04:00,50.11,47.0,73,-0.09,0.03,14.875,94,96,100,95,96,97,960,3293,17389,17428,22500,22560,31260,4020,600,5460,1.8125,0,77,63,42,100,86,100,99,91,96
2022-08-23,58,49,35,65,48,75,97,50,19830,28200,8370,2670,12930,4230,31,70,930,13680,2022-08-23T00:50:29-04:00,2022-08-23T08:40:29-04:00,53.11,47.0,72,0.17,0.11,15.5,91,92,100,95,96,99,1234,3606,20636,21422,21720,24780,34020,3780,2100,0,1.96875,0,70,30,39,96,81,91,99,92,94
2022-08-24,65,52,52,99,88,75,70,50,20520,23640,3120,3990,8010,8520,25,87,240,11190,2022-08-24T01:31:31-04:00,2022-08-24T08:05:31-04:00,54.45,50.0,64,-0.08,0.09,15.5,87,78,95,100,96,98,358,2582,7449,6497,30600,26880,17880,540,0,10500,1.40625,1,64,48,36,67,73,100,88,91,70
2022-08-25,68,59,48,100,81,74,72,64,22500,26760,4260,3660,9450,9390,24,84,330,12330,2022-08-25T00:44:15-04:00,2022-08-25T08:10:15-04:00,51.83,47.0,68,-0.26,-0.03,14.875,96,79,100,100,100,100,949,3189,14550,15883,31080,30720,18960,2880,2580,180,1.71875,0,73,55,36,100,79,96,100,90,93
2022-08-26,79,89,44,100,86,73,78,57,30120,34980,4860,3420,13140,13560,20,86,420,16470,2022-08-25T23:50:33-04:00,2022-08-26T09:33:33-04:00,46.82,43.0,91,-0.16,-0.11,14.625,96,76,100,100,96,99,386,2534,8573,7272,31800,38400,14820,1380,0,0,1.375,0,74,83,48,56,75,100,79,94,100
2022-08-27,78,84,53,100,90,66,81,61,28800,32640,3840,4050,15180,9570,29,88,480,15900,2022-08-26T23:51:51-04:00,2022-08-27T08:55:51-04:00,47.48,43.0,86,-0.4,-0.21,14.75,97,86,95,100,100,100,1087,3408,21530,20594,26940,26100,27240,6000,120,0,1.875,1,81,80,58,100,80,91,80,96,97
2022-08-28,57,39,5,68,93,87,78,59,17100,19320,2220,420,12240,4440,30,89,1380,9870,2022-08-28T01:36:28-04:00,2022-08-28T06:58:28-04:00,53.77,48.0,64,0.08,-0.1,15.125,90,69,60,95,100,98,223,2367,5079,4262,35580,19440,8340,1080,0,21960,1.3125,3,64,28,50,96,73,98,100,94,11
2022-08-30,57,47,48,96,67,70,67,24,19170,24720,5550,3630,8670,6870,24,78,210,11880,2022-08-30T02:14:38-04:00,2022-08-30T09:06:38-04:00,58.01,52.0,52,0.27,0.11,14.875,98,96,100,95,100,100,1196,3502,20981,20926,21300,29760,29880,3060,2400,0,1.90625,0,56,28,44,None,79,81,64,89,47
2022-08-31,76,78,62,100,88,81,75,44,27240,31320,4080,4740,10860,11640,25,87,360,15210,2022-08-31T00:36:44-04:00,2022-08-31T09:18:44-04:00,55.83,48.0,55,-0.37,0.03,15.375,79,33,60,78,100,99,246,2437,5090,4211,52320,24420,8100,1560,0,0,1.34375,3,71,75,51,63,71,92,100,86,52
2022-09-01,61,53,30,100,79,79,70,23,20820,25080,4260,2310,9510,9000,26,83,270,11580,2022-09-01T02:23:01-04:00,2022-09-01T09:21:01-04:00,51.88,47.0,67,0.1,0.0,14.875,92,87,100,78,96,98,361,2591,7554,6260,27120,22260,15060,1440,0,20520,1.4375,0,69,38,47,92,80,96,100,86,65
2022-09-02,67,62,71,100,86,72,75,14,23220,27060,3840,5370,6270,11580,21,86,390,12690,2022-09-02T03:00:03-04:00,2022-09-02T10:31:03-04:00,55.2,51.0,57,0.12,0.06,15.125,93,65,100,95,100,99,729,2993,12812,12623,36240,28380,17580,3060,1140,0,1.625,0,72,53,47,100,86,95,74,82,100
2022-09-03,64,62,42,99,86,69,78,16,23160,27060,3900,3210,11640,8310,27,86,450,13740,2022-09-03T02:29:03-04:00,2022-09-03T10:00:03-04:00,53.28,49.0,57,0.36,0.27,15.5,96,82,100,95,100,100,1137,3381,17657,19006,28560,32580,18720,3240,3300,0,1.84375,0,68,45,48,78,86,74,94,78,66
2022-09-04,74,75,66,98,81,70,83,46,26550,31560,5010,5010,13770,7770,25,84,570,15180,2022-09-04T00:33:29-04:00,2022-09-04T09:19:29-04:00,51.78,47.0,61,0.28,0.34,14.75,93,62,95,100,100,100,1146,3349,14280,18678,38580,31380,9540,3120,3780,0,1.8125,1,73,70,55,41,79,81,100,77,100
2022-09-05,75,79,61,100,81,67,89,44,27660,32760,5100,4680,11130,11850,21,84,690,15780,2022-09-05T00:28:29-04:00,2022-09-05T09:34:29-04:00,51.57,48.0,65,-0.13,0.2,15,86,50,78,95,100,100,178,2375,3494,2979,33180,20160,5880,1080,0,26100,1.3125,2,73,73,62,22,75,100,100,79,100
2022-09-07,74,78,53,99,90,65,89,38,27360,31080,3720,4080,14820,8460,29,88,690,15000,2022-09-07T00:51:37-04:00,2022-09-07T09:29:37-04:00,51.46,46.0,72,-0.1,0.03,15.5,98,87,95,100,100,100,1170,3425,19212,20338,26220,31920,20220,5880,2160,0,1.84375,1,76,70,68,69,69,100,97,84,80
2022-09-08,72,63,38,100,86,82,83,70,23310,27240,3930,2910,8550,11850,26,86,1230,13530,2022-09-08T00:13:31-04:00,2022-09-08T07:47:31-04:00,49.62,46.0,75,-0.25,-0.09,15.25,96,88,95,95,100,100,181,2299,3416,3150,26700,28680,6600,1080,0,23340,1.25,1,76,65,66,63,64,96,98,87,88
2022-09-09,78,77,61,98,90,73,83,71,27090,30900,3810,4680,14790,7620,25,88,1260,15990,2022-09-08T23:29:11-04:00,2022-09-09T08:04:11-04:00,48.97,44.0,77,-0.08,-0.08,15.25,98,92,100,95,100,100,1170,3487,19879,20875,25140,20340,23040,7320,840,9720,1.90625,0,81,80,71,100,75,100,88,89,75
2022-09-10,62,63,56,99,44,72,83,11,23460,34560,11100,4290,11010,8160,24,68,570,15630,2022-09-10T02:25:03-04:00,2022-09-10T12:01:03-04:00,57.98,49.0,53,0.56,0.21,16.25,94,72,95,95,100,100,699,2930,12763,11946,27720,36600,18840,2100,1140,0,1.59375,1,70,40,68,86,71,57,89,86,80
2022-09-11,69,73,55,98,86,70,64,21,25890,30000,4110,4170,13890,7830,26,86,150,14760,2022-09-11T01:42:33-04:00,2022-09-11T10:02:33-04:00,55.9,49.0,59,0.15,0.34,16.5,87,61,95,78,100,100,302,2502,6191,5384,38460,32040,13500,960,0,1440,1.375,1,73,58,70,89,74,93,89,85,47
2022-09-12,70,70,32,100,81,72,97,39,25200,30060,4860,2490,12360,10350,26,84,960,15660,2022-09-12T00:39:56-04:00,2022-09-12T09:00:56-04:00,48.03,45.0,78,-0.19,0.17,15.25,97,90,95,95,100,100,1451,3699,22285,24265,25860,32280,19620,4260,4380,0,2,1,82,60,70,100,82,99,94,88,100
2022-09-13,66,53,35,99,60,73,89,82,20850,27900,7050,2760,9600,8490,30,75,1110,12660,2022-09-13T00:02:40-04:00,2022-09-13T07:47:40-04:00,57.28,52.0,71,0.1,0.06,15.625,96,82,100,95,100,100,858,3096,14657,15597,27660,32460,16740,5640,600,3300,1.6875,0,64,50,63,18,72,96,58,89,96
2022-09-14,89,99,71,100,90,68,97,78,33420,37920,4500,5400,15630,12390,29,88,870,18450,2022-09-13T22:34:34-04:00,2022-09-14T09:06:34-04:00,51.23,47.0,80,0.31,0.2,13.875,93,79,78,95,100,100,936,3143,14856,15926,30960,33000,14580,3060,2760,2040,1.71875,2,89,100,76,94,72,78,100,91,100
2022-09-15,71,59,41,100,74,75,89,83,22500,27900,5400,3150,8820,10530,19,81,660,13560,2022-09-14T23:46:47-04:00,2022-09-15T07:31:47-04:00,49.15,46.0,72,-0.38,0.07,14,90,72,78,100,100,100,565,2777,11029,10490,34200,26700,16200,3420,60,5820,1.5,2,78,62,72,53,71,92,100,91,100
2022-09-16,79,76,56,100,96,72,89,72,26730,29280,2550,4260,12600,9870,26,91,690,14520,2022-09-15T23:52:37-04:00,2022-09-16T08:00:37-04:00,50.73,46.0,75,0.08,0.01,14.375,98,96,100,95,100,100,1366,3802,24856,24364,23580,14880,36600,8340,480,2520,2.09375,0,85,83,74,100,75,98,100,92,76
2022-09-17,51,24,8,97,95,88,72,17,12840,14340,1500,660,4800,7380,16,90,330,6840,2022-09-17T04:16:31-04:00,2022-09-17T08:15:31-04:00,65.66,57.0,31,-0.08,0.0,16.5,95,79,95,95,100,100,748,2983,13451,13398,30900,30840,20280,3360,900,120,1.625,1,47,12,55,89,68,100,5,77,37
2022-09-18,77,79,56,100,76,73,89,65,27720,33660,5940,4290,11940,11490,21,82,1110,17340,2022-09-17T23:19:54-04:00,2022-09-18T08:40:54-04:00,49.82,42.0,73,0.34,0.19,14.75,98,98,100,100,100,100,1661,3966,10459,31037,19560,29340,17100,18720,60,1620,2.15625,0,70,78,58,88,70,76,79,80,39
2022-09-19,70,63,35,100,88,71,78,70,23310,26820,3510,2670,11160,9480,26,87,420,13200,2022-09-19T00:17:33-04:00,2022-09-19T07:44:33-04:00,48.8,44.0,76,0.15,0.26,15.625,92,74,100,100,100,100,911,3232,15134,16327,28920,13380,18900,6420,600,18180,1.78125,0,71,60,56,93,58,92,91,84,65
2022-09-21,79,74,64,100,86,70,86,93,26400,30840,4440,4890,12450,9060,23,86,1170,15540,2022-09-20T22:52:53-04:00,2022-09-21T07:26:53-04:00,53.59,48.0,77,0.17,0.28,15.5,88,78,100,100,100,100,1762,4026,19891,29439,31320,27060,13140,7320,4380,3180,2.1875,0,77,83,59,82,63,90,94,86,80
2022-09-22,81,78,78,99,81,73,91,81,27360,32580,5220,5910,13200,8250,25,84,750,15510,2022-09-21T23:18:40-04:00,2022-09-22T08:21:40-04:00,56.63,51.0,54,-0.03,0.18,15.125,76,83,95,100,100,100,1150,3395,17488,19888,28680,22200,14520,5280,2820,12900,1.84375,1,67,88,65,7,53,100,64,80,100
2022-09-23,58,45,39,86,67,61,99,38,18840,24180,5340,3000,10290,5550,32,78,900,11820,2022-09-23T01:46:03-04:00,2022-09-23T08:29:03-04:00,61.49,54.0,50,0.3,0.24,15.125,72,65,100,100,100,100,795,3043,13891,14020,36180,27180,16740,4560,840,900,1.65625,0,48,30,55,57,55,79,35,72,27
